Age,English level,Education Level,Computing Experience,Task,Selected Answer,Correct,Case Type,Time Taken (ms),Submission Timestamp
23,esl,undergraduate,advanced,analyze disk space,analyzeDiskSpace,true,camel,7854,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,generate error logs,generateErrorLogs,true,camel,3730,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,monitor cpu usage,monitorCpuUsage,true,camel,4252,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,upload data to server,uploadDataToServer,true,camel,3900,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,check system updates,check-system-updates,true,kebab,3932,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,compress large files,combine-large-files,false,kebab,2780,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,manage firewall rules,manage-firewall-rules,true,kebab,9170,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
23,esl,undergraduate,advanced,create user account,createUserAccount,true,camel,5532,Tue Dec 03 2024 17:47:56 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,monitor cpu usage,monitor-cpu-usage,true,kebab,6939,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,install software package,installSoftwarePackage,true,camel,7568,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,manage firewall rules,manageFirewallRules,true,camel,9040,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,backup database files,backupDatabaseFiles,true,camel,7166,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,configure network interface,configureNetworkInterface,true,camel,6435,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,enable network settings,enableNetworkSettings,true,camel,6463,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,install software package,install-software-package,true,kebab,4719,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,upload data to server,upload-data-to-server,true,kebab,5616,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,synchronize time servers,synchronize-time-servers,true,kebab,6271,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,compress large files,compressLargeFiles,true,camel,3964,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,enable network settings,enable-network-settings,true,kebab,5299,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,run diagnostic tests,run-diagnostic-tests,true,kebab,4981,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,generate error logs,generate-error-logs,true,kebab,3705,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,reset password policies,resetPasswordPolicies,true,camel,4346,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,backup database files,backup-database-files,true,kebab,11350,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,check system updates,checkSystemUpdates,true,camel,6490,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,analyze disk space,analyze-disk-space,true,kebab,5858,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,reset password policies,reset-password-policies,true,kebab,12340,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,create user account,create-user-account,true,kebab,7088,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,configure network interface,configure-network-interface,true,kebab,5276,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,synchronize time servers,synchronizeTimeServers,true,camel,6298,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,run diagnostic tests,runDiagnosticTests,true,camel,8352,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,analyze disk space,analyzeDiskSpace,true,camel,4131,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,generate error logs,generateErrorLogs,true,camel,4018,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,monitor cpu usage,monitorCpuUsage,true,camel,5098,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,upload data to server,uploadDataToServer,true,camel,6621,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,check system updates,check-system-updates,true,kebab,4498,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,compress large files,compress-large-files,true,kebab,5047,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,manage firewall rules,manage-firewall-rules,true,kebab,5275,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
24,efl,undergraduate,advanced,create user account,createUserAccount,true,camel,7229,Tue Dec 03 2024 17:50:04 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,monitor cpu usage,monitor-cpu-usage,true,kebab,8220,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,install software package,installSoftwarePackage,true,camel,5461,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,manage firewall rules,manageFirewallRules,true,camel,6117,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,backup database files,backupDatabaseFlies,false,camel,4380,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,configure network interface,configureNetworkInterface,true,camel,7851,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,enable network settings,enableNetworkSettings,true,camel,4370,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,install software package,install-software-package,true,kebab,5001,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,upload data to server,upload-data-to-server,true,kebab,5485,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,synchronize time servers,synchronize-time-servers,true,kebab,3488,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,compress large files,compressLargeFiles,true,camel,4168,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,enable network settings,enable-network-settings,true,kebab,6332,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,run diagnostic tests,run-diagnostic-tests,true,kebab,6301,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,generate error logs,generate-error-logs,true,kebab,4555,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,reset password policies,resetPasswordPolicies,true,camel,6418,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,backup database files,backup-database-files,true,kebab,5239,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,check system updates,checkSystemUpdates,true,camel,8945,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,analyze disk space,analyze-disk-space,true,kebab,3966,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,reset password policies,reset-password-policies,true,kebab,5512,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,create user account,create-user-account,true,kebab,3025,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,configure network interface,configure-network-interface,true,kebab,4116,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,synchronize time servers,synchronizeTimeServers,true,camel,3818,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,run diagnostic tests,runDiagnosticTexts,false,camel,3900,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,analyze disk space,analyzeDiskSpace,true,camel,8201,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,generate error logs,generateErrorLogs,true,camel,4494,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,monitor cpu usage,monitorGpuUsage,false,camel,3051,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,upload data to server,uploadDataToServer,true,camel,11472,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,check system updates,check-system-updates,true,kebab,5125,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,compress large files,compress-large-files,true,kebab,6903,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,manage firewall rules,manage-firewall-rules,true,kebab,3975,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
17,esl,hs,advanced,create user account,createUserAccount,true,camel,4318,Tue Dec 03 2024 17:51:56 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,monitor cpu usage,monitor-cpu-usage,true,kebab,22758,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,install software package,installSoftwarePackage,true,camel,4940,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,manage firewall rules,manageFirewallRules,true,camel,6776,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,backup database files,backupDatabaseFiles,true,camel,6418,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,configure network interface,configureNetworkInterface,true,camel,8885,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,enable network settings,enableNetworkSettings,true,camel,6255,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,install software package,install-software-package,true,kebab,4632,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,upload data to server,upload-data-to-server,true,kebab,6841,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,synchronize time servers,synchronize-time-saves,false,kebab,5410,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,compress large files,compressLargeFiles,true,camel,6591,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,enable network settings,enable-network-settings,true,kebab,5093,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,run diagnostic tests,run-diagnostic-tests,true,kebab,6764,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,generate error logs,generate-error-logs,true,kebab,3034,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,reset password policies,resetPasswordPolicies,true,camel,4362,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,backup database files,backup-database-files,true,kebab,4456,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,check system updates,checkSystemUpdates,true,camel,3475,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,analyze disk space,analyze-disk-space,true,kebab,2506,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,reset password policies,reset-password-policy,false,kebab,1936,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,create user account,create-user-account,true,kebab,4487,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,configure network interface,configure-network-interface,true,kebab,5341,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,synchronize time servers,synchronizeTimeServers,true,camel,7846,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,run diagnostic tests,runDiagnosticTests,true,camel,4130,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,analyze disk space,analyzeDiskSpace,true,camel,2644,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,generate error logs,generateErrorLogs,true,camel,2297,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,monitor cpu usage,monitorCpuUsage,true,camel,3274,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,upload data to server,uploadDataToServer,true,camel,6125,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,check system updates,check-system-updates,true,kebab,3857,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,compress large files,compress-large-files,true,kebab,4572,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,manage firewall rules,manage-firewall-rules,true,kebab,4881,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
22,efl,undergraduate,advanced,create user account,createUserAccount,true,camel,3684,Tue Dec 03 2024 17:53:49 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,monitor cpu usage,monitor-cpu-usage,true,kebab,11810,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,install software package,installSoftwarePackage,true,camel,5884,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,manage firewall rules,manageFirewallRules,true,camel,9767,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,backup database files,backupDatabaseFlies,false,camel,7087,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,configure network interface,configureNetworkInterface,true,camel,7729,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,enable network settings,enableNetworkSettings,true,camel,5383,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,install software package,install-software-package,true,kebab,5279,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,upload data to server,upload-data-to-server,true,kebab,5673,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,synchronize time servers,synchronize-time-servers,true,kebab,6915,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,compress large files,combineLargeFiles,false,camel,3803,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,enable network settings,enable-network-settings,true,kebab,4530,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,run diagnostic tests,run-diagnostic-tests,true,kebab,9853,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,generate error logs,generate-error-logs,true,kebab,5319,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,reset password policies,resetPasswordPolicies,true,camel,5549,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,backup database files,backup-database-files,true,kebab,3270,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,check system updates,checkSystemUpdates,true,camel,3149,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,analyze disk space,analyze-disk-space,true,kebab,2963,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,reset password policies,reset-password-policies,true,kebab,4190,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,create user account,create-user-account,true,kebab,4257,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,configure network interface,configure-network-interface,true,kebab,7177,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,synchronize time servers,synchronizeTimeServers,true,camel,4321,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,run diagnostic tests,runDiagnosticTests,true,camel,6629,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,analyze disk space,analyzeDiskSpace,true,camel,5562,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,generate error logs,generateErrorLogs,true,camel,2643,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,monitor cpu usage,monitorCpuUsage,true,camel,3624,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,upload data to server,uploadDataToServer,true,camel,4240,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,check system updates,check-system-updates,true,kebab,3507,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,compress large files,compress-large-files,true,kebab,4338,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,manage firewall rules,manage-firewall-rules,true,kebab,2117,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
17,efl,undergraduate,advanced,create user account,createUserAccount,true,camel,3319,Tue Dec 03 2024 17:54:32 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,monitor cpu usage,monitor-cpu-usage,true,kebab,6799,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,install software package,installSoftwarePackage,true,camel,3810,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,manage firewall rules,managerFirewallRude,false,camel,3944,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,backup database files,backupDatabaseFiles,true,camel,4360,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,configure network interface,configureNetworkInterface,true,camel,4508,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,enable network settings,enableNetworkSettings,true,camel,2565,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,install software package,install-software-package,true,kebab,3093,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,upload data to server,upload-data-to-server,true,kebab,4569,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,synchronize time servers,synchronize-time-servers,true,kebab,3439,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,compress large files,compressLargeFiles,true,camel,4541,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,enable network settings,enable-network-settings,true,kebab,3607,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,run diagnostic tests,run-diagnostic-tests,true,kebab,4811,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,generate error logs,generate-error-logs,true,kebab,5201,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,reset password policies,resetPasswordPolicies,true,camel,4931,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,backup database files,backup-database-files,true,kebab,4178,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,check system updates,checkSystemUpdates,true,camel,2687,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,analyze disk space,analyze-disk-space,true,kebab,1706,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,reset password policies,reset-password-policies,true,kebab,2894,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,create user account,create-user-account,true,kebab,4030,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,configure network interface,configure-network-interface,true,kebab,1847,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,synchronize time servers,synchronizeTimeServers,true,camel,4539,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,run diagnostic tests,runDiagnosticTexts,false,camel,3778,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,analyze disk space,analyzeDiskSpace,true,camel,3612,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,generate error logs,generateErrorLogs,true,camel,2134,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,monitor cpu usage,monitorCpuUsage,true,camel,3923,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,upload data to server,uploadDataToServer,true,camel,8024,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,check system updates,check-system-updates,true,kebab,3648,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,compress large files,compress-large-files,true,kebab,5191,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,manage firewall rules,manage-firewall-rules,true,kebab,3768,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,esl,postgraduate,moderate,create user account,createUserAccount,true,camel,4202,Tue Dec 03 2024 17:57:24 GMT+0000 (Coordinated Universal Time)
23,efl,undergraduate,moderate,monitor cpu usage,monitor-cpu-usage,true,kebab,43185,Tue Dec 03 2024 17:58:41 GMT+0000 (Coordinated Universal Time)
